Year,Host,host_country
1896,"Athens, Greece",Greece
1900,"Paris, France",France
1904,"St. Louis, United States",United States
1908,"London, United Kingdom",Great Britain
1912,"Stockholm, Sweden",Sweden
1916,Cancelled (WWI – Berlin had been awarded),Cancelled (WWI – Berlin had been awarded)
1920,"Antwerp, Belgium",Belgium
1924,"Paris, France",France
1928,"Amsterdam, Netherlands",Netherlands
1932,"Los Angeles, United States",United States
1936,"Berlin, Germany",Germany
1940,Cancelled (WWII – Tokyo had been awarded),Cancelled (WWII – Tokyo had been awarded)
1944,Cancelled (WWII – London had been awarded),Cancelled (WWII – London had been awarded)
1948,"London, United Kingdom",Great Britain
1952,"Helsinki, Finland",Finland
1956,"Melbourne, Australia",Australia
1960,"Rome, Italy",Italy
1964,"Tokyo, Japan",Japan
1968,"Mexico City, Mexico",Mexico
1972,"Munich, West Germany",Germany
1976,"Montreal, Canada",Canada
1980,"Moscow, Soviet Union",Russia
1984,"Los Angeles, United States",United States
1988,"Seoul, South Korea",South Korea
1992,"Barcelona, Spain",Spain
1996,"Atlanta, United States",United States
2000,"Sydney, Australia",Australia
2004,"Athens, Greece",Greece
2008,"Beijing, China",China
2012,"London, United Kingdom",Great Britain
2016,"Rio de Janeiro, Brazil",Brazil
2020,"Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)",Japan (postponed to 2021 due to the coronavirus pandemic)
2024,"Paris, France",France
2028,"Los Angeles, United States",United States
2032,"Brisbane, Australia",Australia
